package,素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,cpa_pull,cpi_pull,group,period
CoupleLens,老选题,英语,黑白马场写真+单人女+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,,素材制作ZN,0.0,1.0,4.0,18.92,5,0.0,0.0,4.0,,11.71268414395053,0.13467121047725292,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,情侣拥抱淋雨+下沉市场模特+竞,创意搜集ZXL,创意提需TXH,模板制作FDJ,素材制作WXX,20260407,92.16999999999999,264.0,32.0,61.55,9,2.8803124999999996,0.3491287878787878,0.12121212121212122,0.6677877834436369,11.23525444071688,-52.394864728582455,Beatmo,2026-03-31~2026-04-17
Minimix,老选题,英语,宝莱坞双重特效+高种姓模特+竞,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作ZZS,20260317,7322.07,42960.0,2436.0,4387.65,18,3.0057758620689654,0.17043924581005587,0.05670391061452514,0.5992362815433341,9.595272068672585,-1125.5212973401933,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,黑白马场写真+单人男+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,素材制作ZN,20260325,0.0,8.0,3.0,14.190000000000001,5,0.0,0.0,0.375,,9.380594051088634,1.1612727180005258,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,竞品复刻+双人黑白合照+2.2迭代少年模特,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作FDJ,20260202,0.0,8.0,3.0,14.2,4,0.0,0.0,0.375,,9.231071913161465,1.1817405045861946,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,双重情侣站在轮船上+低种姓模特+原,创意搜集LXQ,创意提需ZXL,模板制作LQX,素材制作LQX,20260402,125.45,418.0,46.0,95.34,9,2.7271739130434782,0.3001196172248804,0.11004784688995216,0.7599840573933838,6.260376460188038,-68.6919254637808,Beatmo,2026-03-31~2026-04-17
Minimix,新选题,英语,情侣夜晚淋雨+男女+原,创意搜集QCH,创意提需QCH,模板制作CF,素材制作ZZS,20260312,0.0,0.0,1.0,4.73,1,0.0,,,,3.077023971053822,0.0,Beatmo,2026-03-31~2026-04-17
Minimix,新选题,英语,大人抖腿舞+对比模板+成年女性,创意搜集TXH,创意提需ZXL,模板制作ZN,素材制作FDJ,20260309,0.0,2.0,1.0,4.73,4,0.0,0.0,0.5,,3.077023971053822,0.2818071505568147,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,母婴黑白滤镜壁纸+高种姓模特+竞,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作WXR,20260325,0.0,0.0,1.0,4.73,2,0.0,,,,3.077023971053822,0.0,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,黑白马场写真+单人男+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,素材制作FDJ,20260320,3.57,18.0,2.0,9.46,4,1.785,0.19833333333333333,0.1111111111111111,2.6498599439775914,2.8595938969443315,-1.0385759256842468,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,扭腰传统舞+通用+原,创意搜集QCH,创意提需QCH,模板制作ZX L,素材制作WXX,20260403,19.49,63.0,7.0,14.120000000000001,8,2.7842857142857143,0.30936507936507934,0.1111111111111111,0.7244740892765522,2.6514041661281045,-10.21201060112708,Beatmo,2026-03-31~2026-04-17
